var_1,var_2,corr
Fare Ammount,Pclass,-0.5494996199439061
Parch,SibSp,0.41483769862015263
Age,Pclass,-0.36922601531551574
Pclass,Survived,-0.33848103596101586
SibSp,Age,-0.3082467589236574
Fare Ammount,Survived,0.2573065223849618
Fare Ammount,Parch,0.21622494477076254
Parch,Age,-0.18911926263203518
Fare Ammount,SibSp,0.15965104324216103
Fare Ammount,Age,0.09606669176903881
SibSp,Pclass,0.0830813628456866
Parch,Survived,0.08162940708348222
Age,Survived,-0.07722109457217737
SibSp,PassengerId,-0.057526833784441705
Age,PassengerId,0.03684719786132784
SibSp,Survived,-0.03532249888573588
Pclass,PassengerId,-0.03514399403037967
Parch,Pclass,0.01844267131074835
Fare Ammount,PassengerId,0.01265821928749123
Survived,PassengerId,-0.005006660767066476
Parch,PassengerId,-0.0016520124027188286
